Tamanho,Threshold,MediaCPU,DesvioCPU,MediaReal,DesvioReal
80,22,0.000002,0.000001,0.000002,0.000002
80,20,0.000002,0.000001,0.000002,0.000001
80,18,0.000001,0.000000,0.000001,0.000000
80,16,0.000001,0.000000,0.000001,0.000000
80,14,0.000001,0.000000,0.000001,0.000000
80,12,0.000001,0.000000,0.000001,0.000000
80,10,0.000001,0.000000,0.000001,0.000000
80,8,0.000001,0.000001,0.000001,0.000001
80,6,0.000001,0.000000,0.000001,0.000000
80,4,0.000001,0.000000,0.000001,0.000000
80,2,0.000001,0.000000,0.000001,0.000000
160,-1,0.000001,0.000001,0.000002,0.000000
160,100,0.000014,0.000001,0.000014,0.000001
160,90,0.000015,0.000004,0.000016,0.000004
160,80,0.000027,0.000001,0.000027,0.000001
160,70,0.000015,0.000001,0.000015,0.000001
160,60,0.000015,0.000001,0.000015,0.000001
160,50,0.000015,0.000001,0.000015,0.000001
160,40,0.000016,0.000001,0.000017,0.000000
160,30,0.000009,0.000001,0.000009,0.000001
160,28,0.000009,0.000000,0.000009,0.000000
160,26,0.000009,0.000001,0.000009,0.000001
160,24,0.000009,0.000001,0.000010,0.000000
160,22,0.000010,0.000001,0.000010,0.000001
160,20,0.000009,0.000000,0.000009,0.000000
160,18,0.000005,0.000001,0.000005,0.000001
160,16,0.000005,0.000000,0.000005,0.000000
160,14,0.000005,0.000001,0.000005,0.000000
160,12,0.000005,0.000001,0.000005,0.000001
160,10,0.000004,0.000000,0.000005,0.000000
160,8,0.000003,0.000001,0.000003,0.000001
160,6,0.000003,0.000000,0.000003,0.000000
160,4,0.000003,0.000001,0.000003,0.000000
160,2,0.000003,0.000001,0.000003,0.000001
320,-1,0.000007,0.000003,0.000007,0.000002
320,100,0.000050,0.000008,0.000051,0.000008
320,90,0.000038,0.000002,0.000038,0.000003
320,80,0.000031,0.000002,0.000031,0.000002
320,70,0.000014,0.000002,0.000014,0.000002
320,60,0.000013,0.000001,0.000013,0.000001
320,50,0.000012,0.000000,0.000012,0.000000
320,40,0.000012,0.000001,0.000012,0.000001
320,30,0.000007,0.000001,0.000007,0.000001
320,28,0.000006,0.000000,0.000007,0.000000
320,26,0.000006,0.000001,0.000007,0.000000
320,24,0.000006,0.000001,0.000007,0.000000
320,22,0.000006,0.000000,0.000007,0.000000
320,20,0.000006,0.000001,0.000007,0.000000
320,18,0.000004,0.000001,0.000004,0.000001
320,16,0.000004,0.000000,0.000004,0.000000
320,14,0.000004,0.000000,0.000004,0.000000
320,12,0.000004,0.000000,0.000004,0.000000
320,10,0.000004,0.000000,0.000004,0.000000
320,8,0.000002,0.000001,0.000003,0.000000
320,6,0.000002,0.000000,0.000002,0.000000
320,4,0.000002,0.000001,0.000002,0.000000
320,2,0.000003,0.000001,0.000003,0.000000
640,-1,0.000007,0.000003,0.000007,0.000003
640,100,0.000064,0.000002,0.000064,0.000002
640,90,0.000064,0.000002,0.000064,0.000002
640,80,0.000064,0.000002,0.000064,0.000002
640,70,0.000031,0.000003,0.000031,0.000003
640,60,0.000030,0.000002,0.000030,0.000002
640,50,0.000030,0.000002,0.000030,0.000002
640,40,0.000030,0.000002,0.000030,0.000002
640,30,0.000014,0.000003,0.000014,0.000003
640,28,0.000013,0.000000,0.000013,0.000000
640,26,0.000013,0.000001,0.000013,0.000001
640,24,0.000013,0.000000,0.000013,0.000000
640,22,0.000013,0.000001,0.000013,0.000001
640,20,0.000013,0.000002,0.000014,0.000002
640,18,0.000008,0.000002,0.000008,0.000002
640,16,0.000007,0.000000,0.000007,0.000000
640,14,0.000007,0.000000,0.000007,0.000000
640,12,0.000007,0.000000,0.000007,0.000000
640,10,0.000008,0.000001,0.000008,0.000001
640,8,0.000005,0.000001,0.000006,0.000001
640,6,0.000005,0.000000,0.000005,0.000000
640,4,0.000005,0.000001,0.000005,0.000001
640,2,0.000005,0.000001,0.000006,0.000001
1280,-1,0.000033,0.000003,0.000033,0.000003
1280,100,0.000153,0.000003,0.000153,0.000003
1280,90,0.000153,0.000003,0.000154,0.000003
1280,80,0.000152,0.000004,0.000153,0.000004
1280,70,0.000089,0.000003,0.000089,0.000003
1280,60,0.000087,0.000003,0.000087,0.000003
1280,50,0.000087,0.000003,0.000087,0.000003
1280,40,0.000088,0.000003,0.000088,0.000003
1280,30,0.000049,0.000004,0.000050,0.000004
1280,28,0.000048,0.000003,0.000048,0.000003
1280,26,0.000048,0.000003,0.000048,0.000003
1280,24,0.000049,0.000004,0.000049,0.000004
1280,22,0.000048,0.000003,0.000048,0.000003
1280,20,0.000049,0.000003,0.000049,0.000003
1280,18,0.000029,0.000004,0.000029,0.000004
1280,16,0.000026,0.000001,0.000026,0.000001
1280,14,0.000026,0.000002,0.000026,0.000002
1280,12,0.000028,0.000002,0.000028,0.000001
1280,10,0.000027,0.000001,0.000027,0.000001
1280,8,0.000028,0.000003,0.000028,0.000003
1280,6,0.000026,0.000002,0.000026,0.000002
1280,4,0.000028,0.000003,0.000028,0.000003
1280,2,0.000029,0.000003,0.000029,0.000003
2560,-1,0.000087,0.000007,0.000087,0.000008
2560,100,0.000319,0.000004,0.000319,0.000004
2560,90,0.000318,0.000004,0.000318,0.000004
2560,80,0.000318,0.000004,0.000318,0.000004
2560,70,0.000199,0.000003,0.000199,0.000003
2560,60,0.000198,0.000003,0.000198,0.000003
2560,50,0.000199,0.000003,0.000199,0.000004
2560,40,0.000199,0.000003,0.000199,0.000003
2560,30,0.000127,0.000003,0.000127,0.000003
2560,28,0.000125,0.000001,0.000125,0.000001
